source_id,sha256,original_filename,official_release_date,official_url,release_identifier,retrieved_at,retrieval_method,availability_quality,license,evidence
bank_reference,cd800f82e64f8f2a0b65eea781becf06df2c42cd060b366f73f17393eead8ba9,Referencias_bancos_financieras.xlsx,,,,2026-08-24T23:33:13Z,archive_ingest_upper_bound,inferred_upper_bound,pending,"No acquisition record survives for this vintage: it was placed in input/current/ by the operator and archived by the pipeline, so the moment it entered the immutable archive is the only timestamp this project can evidence. retrieved_at is that archive time and bounds the real acquisition from above, which is the conservative direction -- an as-of query sees less than a researcher could have seen, never more. availability_quality says so. official_release_date, official_url and release_identifier remain unrecorded and are listed per vintage in outputs/source_provenance_worklist.csv; fill them from the publisher's own download page. Archive evidence: input_archive/archive_manifest.csv, matched on (source_id, sha256)."
banking_indicators,c57dc0f6a422ac9e54dafccd2fabfd7cbc358ed67fe3be9c50a46efffad3246d,IDB_JUN26.xlsx,,,,2026-08-24T23:37:06Z,archive_ingest_upper_bound,inferred_upper_bound,pending,"No acquisition record survives for this vintage: it was placed in input/current/ by the operator and archived by the pipeline, so the moment it entered the immutable archive is the only timestamp this project can evidence. retrieved_at is that archive time and bounds the real acquisition from above, which is the conservative direction -- an as-of query sees less than a researcher could have seen, never more. availability_quality says so. official_release_date, official_url and release_identifier remain unrecorded and are listed per vintage in outputs/source_provenance_worklist.csv; fill them from the publisher's own download page. Archive evidence: input_archive/archive_manifest.csv, matched on (source_id, sha256)."
banks,3809900872e5af28e11ae86ecca29027159ffec268d9f059b4aa448bf0b76879,1.1 Tablas Boletín Bancos Jul26 1.xlsx,,,,2026-08-24T23:33:28Z,archive_ingest_upper_bound,inferred_upper_bound,pending,"No acquisition record survives for this vintage: it was placed in input/current/ by the operator and archived by the pipeline, so the moment it entered the immutable archive is the only timestamp this project can evidence. retrieved_at is that archive time and bounds the real acquisition from above, which is the conservative direction -- an as-of query sees less than a researcher could have seen, never more. availability_quality says so. official_release_date, official_url and release_identifier remain unrecorded and are listed per vintage in outputs/source_provenance_worklist.csv; fill them from the publisher's own download page. Archive evidence: input_archive/archive_manifest.csv, matched on (source_id, sha256)."
bcp_fx_daily,a45bea1e1508bb019befcac9c545dfb03e0e537649a4d7a20d2a8bea59652091,Compra_Venta de Divisas del BCP_2026 (1).xlsx,,,,2026-08-24T23:36:53Z,archive_ingest_upper_bound,inferred_upper_bound,pending,"No acquisition record survives for this vintage: it was placed in input/current/ by the operator and archived by the pipeline, so the moment it entered the immutable archive is the only timestamp this project can evidence. retrieved_at is that archive time and bounds the real acquisition from above, which is the conservative direction -- an as-of query sees less than a researcher could have seen, never more. availability_quality says so. official_release_date, official_url and release_identifier remain unrecorded and are listed per vintage in outputs/source_provenance_worklist.csv; fill them from the publisher's own download page. Archive evidence: input_archive/archive_manifest.csv, matched on (source_id, sha256)."
compensatory_fx_sales,474d8c47b1ad9622b1bb8b29c229f87104f01dba4c461150a894d13b679812e1,Ventas Compensatorias_Ventas Complementarias_2026.xlsx,,,,2026-08-24T23:38:05Z,archive_ingest_upper_bound,inferred_upper_bound,pending,"No acquisition record survives for this vintage: it was placed in input/current/ by the operator and archived by the pipeline, so the moment it entered the immutable archive is the only timestamp this project can evidence. retrieved_at is that archive time and bounds the real acquisition from above, which is the conservative direction -- an as-of query sees less than a researcher could have seen, never more. availability_quality says so. official_release_date, official_url and release_identifier remain unrecorded and are listed per vintage in outputs/source_provenance_worklist.csv; fill them from the publisher's own download page. Archive evidence: input_archive/archive_manifest.csv, matched on (source_id, sha256)."
corporate_bond_curves,e5d5a3a5c3e2b00d96d76a112c579af506be1b2446c98d531aa5d6e756de85d3,Curvas Bonoc Corporativos.csv,,,,2026-08-24T23:37:03Z,archive_ingest_upper_bound,inferred_upper_bound,pending,"No acquisition record survives for this vintage: it was placed in input/current/ by the operator and archived by the pipeline, so the moment it entered the immutable archive is the only timestamp this project can evidence. retrieved_at is that archive time and bounds the real acquisition from above, which is the conservative direction -- an as-of query sees less than a researcher could have seen, never more. availability_quality says so. official_release_date, official_url and release_identifier remain unrecorded and are listed per vintage in outputs/source_provenance_worklist.csv; fill them from the publisher's own download page. Archive evidence: input_archive/archive_manifest.csv, matched on (source_id, sha256)."
credit_survey,58a83c5bcd64e4423fc13c407b372d283eb185de2ea452405ae3ced47f88a4ed,Estadística Situación General del Crédito.xlsx,,,,2026-08-24T23:36:02Z,archive_ingest_upper_bound,inferred_upper_bound,pending,"No acquisition record survives for this vintage: it was placed in input/current/ by the operator and archived by the pipeline, so the moment it entered the immutable archive is the only timestamp this project can evidence. retrieved_at is that archive time and bounds the real acquisition from above, which is the conservative direction -- an as-of query sees less than a researcher could have seen, never more. availability_quality says so. official_release_date, official_url and release_identifier remain unrecorded and are listed per vintage in outputs/source_provenance_worklist.csv; fill them from the publisher's own download page. Archive evidence: input_archive/archive_manifest.csv, matched on (source_id, sha256)."
direct_investment,fbc612f5e64f6905a2e84928d4cdd25582ac491b647b0e5a1eab7146d059858a,Anexo estadístico de Inversión Directa (ID) 1995 - 2024 (1).xlsx,,,,2026-08-24T23:36:34Z,archive_ingest_upper_bound,inferred_upper_bound,pending,"No acquisition record survives for this vintage: it was placed in input/current/ by the operator and archived by the pipeline, so the moment it entered the immutable archive is the only timestamp this project can evidence. retrieved_at is that archive time and bounds the real acquisition from above, which is the conservative direction -- an as-of query sees less than a researcher could have seen, never more. availability_quality says so. official_release_date, official_url and release_identifier remain unrecorded and are listed per vintage in outputs/source_provenance_worklist.csv; fill them from the publisher's own download page. Archive evidence: input_archive/archive_manifest.csv, matched on (source_id, sha256)."
economic_annex,25818cb75022083e13cab48e773038b4f4c82557fa6e307ec50b428eefd9f0ae,Anexo_Estadístico_del_Informe_Económico_13_08_2026.xlsx,,,,2026-08-24T23:33:55Z,archive_ingest_upper_bound,inferred_upper_bound,pending,"No acquisition record survives for this vintage: it was placed in input/current/ by the operator and archived by the pipeline, so the moment it entered the immutable archive is the only timestamp this project can evidence. retrieved_at is that archive time and bounds the real acquisition from above, which is the conservative direction -- an as-of query sees less than a researcher could have seen, never more. availability_quality says so. official_release_date, official_url and release_identifier remain unrecorded and are listed per vintage in outputs/source_provenance_worklist.csv; fill them from the publisher's own download page. Archive evidence: input_archive/archive_manifest.csv, matched on (source_id, sha256)."
eve,9eef7e154e7e7c6f3990e0fccc4e91667e6c271f3bcacf6fcce6091d3cdbf559,EVE_Anexo Estadístico_agosto_2026.xlsx,,,,2026-08-24T23:35:59Z,archive_ingest_upper_bound,inferred_upper_bound,pending,"No acquisition record survives for this vintage: it was placed in input/current/ by the operator and archived by the pipeline, so the moment it entered the immutable archive is the only timestamp this project can evidence. retrieved_at is that archive time and bounds the real acquisition from above, which is the conservative direction -- an as-of query sees less than a researcher could have seen, never more. availability_quality says so. official_release_date, official_url and release_identifier remain unrecorded and are listed per vintage in outputs/source_provenance_worklist.csv; fill them from the publisher's own download page. Archive evidence: input_archive/archive_manifest.csv, matched on (source_id, sha256)."
exchange_houses,93e85a8013fb6cf2b842f72e25427bc5449f859329428edb3280e77ad999b33a,3. Boletín Casa de Cambio Jul26.xlsm,,,,2026-08-24T23:33:46Z,archive_ingest_upper_bound,inferred_upper_bound,pending,"No acquisition record survives for this vintage: it was placed in input/current/ by the operator and archived by the pipeline, so the moment it entered the immutable archive is the only timestamp this project can evidence. retrieved_at is that archive time and bounds the real acquisition from above, which is the conservative direction -- an as-of query sees less than a researcher could have seen, never more. availability_quality says so. official_release_date, official_url and release_identifier remain unrecorded and are listed per vintage in outputs/source_provenance_worklist.csv; fill them from the publisher's own download page. Archive evidence: input_archive/archive_manifest.csv, matched on (source_id, sha256)."
exchange_rates,a822c1e0cb97438c1bde2836cca9d8b58777f2ae3f8dcb8160197345aabf62a2,Cotizaciones - Julio 2026.xlsx,,,,2026-08-24T23:37:01Z,archive_ingest_upper_bound,inferred_upper_bound,pending,"No acquisition record survives for this vintage: it was placed in input/current/ by the operator and archived by the pipeline, so the moment it entered the immutable archive is the only timestamp this project can evidence. retrieved_at is that archive time and bounds the real acquisition from above, which is the conservative direction -- an as-of query sees less than a researcher could have seen, never more. availability_quality says so. official_release_date, official_url and release_identifier remain unrecorded and are listed per vintage in outputs/source_provenance_worklist.csv; fill them from the publisher's own download page. Archive evidence: input_archive/archive_manifest.csv, matched on (source_id, sha256)."
financial,5ebb0bcb3260e482dbf6f83e4c80aa5b7d5e50d65e3b974c6e33221d4998ca3b,2.1 Tablas Boletín Financieras Jul26 1.xlsx,,,,2026-08-24T23:33:39Z,archive_ingest_upper_bound,inferred_upper_bound,pending,"No acquisition record survives for this vintage: it was placed in input/current/ by the operator and archived by the pipeline, so the moment it entered the immutable archive is the only timestamp this project can evidence. retrieved_at is that archive time and bounds the real acquisition from above, which is the conservative direction -- an as-of query sees less than a researcher could have seen, never more. availability_quality says so. official_release_date, official_url and release_identifier remain unrecorded and are listed per vintage in outputs/source_provenance_worklist.csv; fill them from the publisher's own download page. Archive evidence: input_archive/archive_manifest.csv, matched on (source_id, sha256)."
financial_indicators,f9ded3c4fe24e11b14caa1df69f4390a3e3367ed076e6c35b1328cbe0c3eaff3,Ind. Financieros web-Junio 2026.xlsx,,,,2026-08-24T23:37:09Z,archive_ingest_upper_bound,inferred_upper_bound,pending,"No acquisition record survives for this vintage: it was placed in input/current/ by the operator and archived by the pipeline, so the moment it entered the immutable archive is the only timestamp this project can evidence. retrieved_at is that archive time and bounds the real acquisition from above, which is the conservative direction -- an as-of query sees less than a researcher could have seen, never more. availability_quality says so. official_release_date, official_url and release_identifier remain unrecorded and are listed per vintage in outputs/source_provenance_worklist.csv; fill them from the publisher's own download page. Archive evidence: input_archive/archive_manifest.csv, matched on (source_id, sha256)."
fx_operations,40495acf211c2c2d11664e42db84c028df796bcf8a65b7013ef2e6612504f90c,Histórico - Operaciones Cambiarias.xlsx,,,,2026-08-24T23:36:23Z,archive_ingest_upper_bound,inferred_upper_bound,pending,"No acquisition record survives for this vintage: it was placed in input/current/ by the operator and archived by the pipeline, so the moment it entered the immutable archive is the only timestamp this project can evidence. retrieved_at is that archive time and bounds the real acquisition from above, which is the conservative direction -- an as-of query sees less than a researcher could have seen, never more. availability_quality says so. official_release_date, official_url and release_identifier remain unrecorded and are listed per vintage in outputs/source_provenance_worklist.csv; fill them from the publisher's own download page. Archive evidence: input_archive/archive_manifest.csv, matched on (source_id, sha256)."
icc,b15c74f9723cd0465d088b855aa36a670c06997a1a439c81ccf95913f9b3d3a5,Estadistica ICC.xlsx,,,,2026-08-24T23:36:01Z,archive_ingest_upper_bound,inferred_upper_bound,pending,"No acquisition record survives for this vintage: it was placed in input/current/ by the operator and archived by the pipeline, so the moment it entered the immutable archive is the only timestamp this project can evidence. retrieved_at is that archive time and bounds the real acquisition from above, which is the conservative direction -- an as-of query sees less than a researcher could have seen, never more. availability_quality says so. official_release_date, official_url and release_identifier remain unrecorded and are listed per vintage in outputs/source_provenance_worklist.csv; fill them from the publisher's own download page. Archive evidence: input_archive/archive_manifest.csv, matched on (source_id, sha256)."
insurance_annex,7cb2b1d2ffa3badb8113e890339f41cd2f24187ecdf925e532da24e5583fd131,Anexo_estadístico_2025.xlsx,,,,2026-08-24T23:36:43Z,archive_ingest_upper_bound,inferred_upper_bound,pending,"No acquisition record survives for this vintage: it was placed in input/current/ by the operator and archived by the pipeline, so the moment it entered the immutable archive is the only timestamp this project can evidence. retrieved_at is that archive time and bounds the real acquisition from above, which is the conservative direction -- an as-of query sees less than a researcher could have seen, never more. availability_quality says so. official_release_date, official_url and release_identifier remain unrecorded and are listed per vintage in outputs/source_provenance_worklist.csv; fill them from the publisher's own download page. Archive evidence: input_archive/archive_manifest.csv, matched on (source_id, sha256)."
