source_id,source_sheet,status,parser_claim,reviewed_by,reviewed_at,note,definitions_reviewed,units_reviewed,timing_reviewed,hierarchy_reviewed,methodology_reviewed,evidence_uri
bank_reference,*,provisional,none,unreviewed,,"Parses cleanly and passes the automated release gates; no economic review of definitions, units, period conventions or hierarchy has been done.",,,,,,
banking_indicators,*,provisional,none,unreviewed,,"Parses cleanly and passes the automated release gates; no economic review of definitions, units, period conventions or hierarchy has been done.",,,,,,
banks,*,provisional,none,unreviewed,,"Parses cleanly and passes the automated release gates; no economic review of definitions, units, period conventions or hierarchy has been done.",,,,,,
bcp_fx_daily,*,provisional,none,unreviewed,,"Parses cleanly and passes the automated release gates; no economic review of definitions, units, period conventions or hierarchy has been done.",,,,,,
compensatory_fx_sales,*,provisional,none,unreviewed,,"Parses cleanly and passes the automated release gates; no economic review of definitions, units, period conventions or hierarchy has been done.",,,,,,
compensatory_fx_sales,Ventas(DatosMensuales),provisional,none,unreviewed,,"The year block is read to the last month the publisher has reported, not to the last row of the template. The block's Total column carries a formula down the whole calendar year, so the months that have not happened yet show a cached zero over two empty component cells; reading those as observations invented five monthly totals and, because the vintage's publication date fell back to the maximum period in the content, moved the source's availability to 2026-12-31 while raw.source_files still said 2026-07-31. A trailing row whose components are blank and whose total is zero is now a template row; a published zero total between two reported months, and a trailing month reported as a single non-zero total, are both still read. Parses cleanly and passes the automated release gates; no economic review of definitions, units, period conventions or hierarchy has been done.",,,,,,
corporate_bond_curves,*,provisional,none,unreviewed,,"Parses cleanly and passes the automated release gates; no economic review of definitions, units, period conventions or hierarchy has been done.",,,,,,
credit_survey,*,provisional,none,unreviewed,,"Parses cleanly and passes the automated release gates; no economic review of definitions, units, period conventions or hierarchy has been done.",,,,,,
direct_investment,*,provisional,none,unreviewed,,"Parses cleanly and passes the automated release gates; no economic review of definitions, units, period conventions or hierarchy has been done.",,,,,,
economic_annex,*,provisional,none,unreviewed,,"Parses cleanly and passes the automated release gates; no economic review of definitions, units, period conventions or hierarchy has been done.",,,,,,
economic_annex,CUADRO 11,provisional,none,unreviewed,,"The 83 within-year minimum-wage steps are now read. The published interval labels (Enero/Junio, Mayo/Diciembre) resolve to a sub-annual period whose closing month carries the period axis and whose opening month is stored in series_period_bounds, so v_series_observations reports the interval the wage was actually in force over. They are a distinct measure from the annual row above them, which is the year's average: 22,065 in 1980 is the average of 20,520 to June and 23,610 from July. No economic review of definitions, units, period conventions or hierarchy has been done.",,,,,,
economic_annex,Cuadro 46a,provisional,none,unreviewed,,"Detailed merchandise trade. The seven-column interannual comparison block after the monthly axis is bounded out of the period axis (schema 14) and classified as report layout in config/reconciliation_cell_rules.csv, so it produces no observations. Trade direction, classification scheme, customs regime and product are now explicit dimensions in series_dimension, derived from the published table title and row label, and the valuation basis is derived as FOB from the title; all four are exposed through v_mart_trade_all. What remains unreviewed is what remains unreviewed everywhere: the product names are the publisher's own and are not mapped to HS or SITC, and no economist has checked the definitions, coverage or period conventions.",,,,,,
economic_annex,Cuadro 46b,provisional,none,unreviewed,,"Detailed merchandise trade. The seven-column interannual comparison block after the monthly axis is bounded out of the period axis (schema 14) and classified as report layout in config/reconciliation_cell_rules.csv, so it produces no observations. Trade direction, classification scheme, customs regime and product are now explicit dimensions in series_dimension, derived from the published table title and row label, and the valuation basis is derived as FOB from the title; all four are exposed through v_mart_trade_all. What remains unreviewed is what remains unreviewed everywhere: the product names are the publisher's own and are not mapped to HS or SITC, and no economist has checked the definitions, coverage or period conventions.",,,,,,
