source_id,expected_frequency,acquisition_method,official_landing_page,license_status,retention_policy,provenance_requirement,point_in_time_status,allowed_uses,prohibited_uses,owner,effective_from
bank_reference,as_published,manual_download,,unverified,retain_every_future_vintage,"URL, release identifier, official release date, retrieval timestamp, checksum and license",forward_collection_required,"local research; reference mapping","historical as-of claims; license-assured redistribution",data_steward,2026-09-08
banks,monthly,manual_download,,unverified,retain_every_future_vintage,"URL, release identifier, official release date, retrieval timestamp, checksum and license",forward_collection_required,"local research; latest-snapshot banking analysis","historical as-of claims; license-assured redistribution",data_steward,2026-09-08
financial,monthly,manual_download,,unverified,retain_every_future_vintage,"URL, release identifier, official release date, retrieval timestamp, checksum and license",forward_collection_required,"local research; latest-snapshot financial-company analysis","historical as-of claims; license-assured redistribution",data_steward,2026-09-08
exchange_houses,monthly,manual_download,,unverified,retain_every_future_vintage,"URL, release identifier, official release date, retrieval timestamp, checksum and license",forward_collection_required,"local research; latest-snapshot analysis","historical as-of claims; license-assured redistribution",data_steward,2026-09-08
economic_annex,monthly,manual_download,,unverified,retain_every_future_vintage,"URL, release identifier, official release date, retrieval timestamp, checksum and license",forward_collection_required,"local research; latest-snapshot macroeconomic analysis","historical as-of claims before forward vintages; license-assured redistribution",data_steward,2026-09-08
payments,monthly,manual_download,,unverified,retain_every_future_vintage,"URL, release identifier, official release date, retrieval timestamp, checksum and license",forward_collection_required,"local research; latest-snapshot payments analysis","historical as-of claims; license-assured redistribution",data_steward,2026-09-08
eve,monthly,manual_download,,unverified,retain_every_future_vintage,"URL, release identifier, official release date, retrieval timestamp, checksum and license",forward_collection_required,"local research; latest-snapshot expectations analysis","historical as-of claims; license-assured redistribution",data_steward,2026-09-08
icc,monthly,manual_download,,unverified,retain_every_future_vintage,"URL, release identifier, official release date, retrieval timestamp, checksum and license",forward_collection_required,"local research; latest-snapshot confidence analysis","historical as-of claims; license-assured redistribution",data_steward,2026-09-08
credit_survey,quarterly,manual_download,,unverified,retain_every_future_vintage,"URL, release identifier, official release date, retrieval timestamp, checksum and license",forward_collection_required,"local research; latest-snapshot credit analysis","historical as-of claims; license-assured redistribution",data_steward,2026-09-08
fx_operations,daily,manual_download,,unverified,retain_every_future_vintage,"URL, release identifier, official release date, retrieval timestamp, checksum and license",forward_collection_required,"local research; latest-snapshot foreign-exchange analysis","historical as-of claims; license-assured redistribution",data_steward,2026-09-08
liquidity_facility,event,manual_download,,unverified,retain_every_future_vintage,"URL, release identifier, official release date, retrieval timestamp, checksum and license",forward_collection_required,"local research; event analysis with source definitions","historical as-of claims; license-assured redistribution",data_steward,2026-09-08
direct_investment,annual,manual_download,,unverified,retain_every_future_vintage,"URL, release identifier, official release date, retrieval timestamp, checksum and license",forward_collection_required,"local research; latest-snapshot external-sector analysis","historical as-of claims; license-assured redistribution",data_steward,2026-09-08
insurance_annex,monthly,manual_download,,unverified,retain_every_future_vintage,"URL, release identifier, official release date, retrieval timestamp, checksum and license",forward_collection_required,"local research; latest-snapshot insurance analysis","historical as-of claims; license-assured redistribution",data_steward,2026-09-08
bcp_fx_daily,daily,manual_download,,unverified,retain_every_future_vintage,"URL, release identifier, official release date, retrieval timestamp, checksum and license",forward_collection_required,"local research; foreign-exchange intervention analysis","historical as-of claims; license-assured redistribution",data_steward,2026-09-08
exchange_rates,daily_and_monthly,manual_download,,unverified,retain_every_future_vintage,"URL, release identifier, official release date, retrieval timestamp, checksum and license",forward_collection_required,"local research; latest-snapshot exchange-rate analysis","historical as-of claims; license-assured redistribution",data_steward,2026-09-08
corporate_bond_curves,daily,manual_download,,unverified,retain_every_future_vintage,"URL, release identifier, official release date, retrieval timestamp, checksum and license",forward_collection_required,"local research; curve-node analysis","historical as-of claims; license-assured redistribution",data_steward,2026-09-08
banking_indicators,monthly,manual_download,,unverified,retain_every_future_vintage,"URL, release identifier, official release date, retrieval timestamp, checksum and license",forward_collection_required,"local research; latest-snapshot financial inclusion analysis","historical as-of claims; license-assured redistribution",data_steward,2026-09-08
financial_indicators,monthly,manual_download,,unverified,retain_every_future_vintage,"URL, release identifier, official release date, retrieval timestamp, checksum and license",forward_collection_required,"local research; latest-snapshot financial-sector analysis","historical as-of claims; license-assured redistribution",data_steward,2026-09-08
interbank_market,event,manual_download,,unverified,retain_every_future_vintage,"URL, release identifier, official release date, retrieval timestamp, checksum and license",forward_collection_required,"local research; event analysis with source definitions","historical as-of claims; license-assured redistribution",data_steward,2026-09-08
securities_trades,daily,manual_download,,unverified,retain_every_future_vintage,"URL, release identifier, official release date, retrieval timestamp, checksum and license",forward_collection_required,"local research; transaction-level market analysis","historical as-of claims; license-assured redistribution",data_steward,2026-09-08
lrm_auctions,event,manual_download,,unverified,retain_every_future_vintage,"URL, release identifier, official release date, retrieval timestamp, checksum and license",forward_collection_required,"local research; auction-event analysis with source definitions","historical as-of claims; license-assured redistribution",data_steward,2026-09-08
compensatory_fx_sales,event,manual_download,,unverified,retain_every_future_vintage,"URL, release identifier, official release date, retrieval timestamp, checksum and license",forward_collection_required,"local research; foreign-exchange event analysis","historical as-of claims; license-assured redistribution",data_steward,2026-09-08
cda_curve,monthly,manual_download,,unverified,retain_every_future_vintage,"URL, release identifier, official release date, retrieval timestamp, checksum and license",forward_collection_required,"local research; provisional deposit-curve inspection","historical as-of claims; economic equivalence claims; license-assured redistribution",data_steward,2026-09-12
tcn_referential_daily,daily,manual_download,,unverified,retain_every_future_vintage,"URL, release identifier, official release date, retrieval timestamp, checksum and license",forward_collection_required,"local research; provisional source inspection","historical as-of claims; economic equivalence claims; license-assured redistribution",data_steward,2026-09-12
imf_cpi,monthly_and_quarterly,received_export_then_sdmx,https://data.imf.org/,imf_data_terms_reviewed,retain_every_future_vintage,"Exact export URL or SDMX query, dataflow version, retrieval timestamp, checksum and applicable terms",initial_received_vintage,"internal non-commercial catalog and exploratory analysis with IMF attribution","research admission; silent transformations; unattributed redistribution",data_steward,2026-09-19
imf_er,monthly_and_quarterly,received_export_then_sdmx,https://data.imf.org/,imf_data_terms_reviewed,retain_every_future_vintage,"Exact export URL or SDMX query, dataflow version, retrieval timestamp, checksum and applicable terms",initial_received_vintage,"internal non-commercial catalog and exploratory analysis with IMF attribution","research admission; silent transformations; unattributed redistribution",data_steward,2026-09-19
imf_eer,monthly_and_quarterly,received_export_then_sdmx,https://data.imf.org/,imf_data_terms_reviewed,retain_every_future_vintage,"Exact export URL or SDMX query, dataflow version, retrieval timestamp, checksum and applicable terms",initial_received_vintage,"internal non-commercial catalog and exploratory analysis with IMF attribution","research admission; silent transformations; unattributed redistribution",data_steward,2026-09-19
imf_qnea,quarterly,received_export_then_sdmx,https://data.imf.org/,imf_data_terms_reviewed,retain_every_future_vintage,"Exact export URL or SDMX query, dataflow version, retrieval timestamp, checksum and applicable terms",initial_received_vintage,"internal non-commercial catalog and exploratory analysis with IMF attribution","research admission; silent transformations; unattributed redistribution",data_steward,2026-09-19
imf_ctot,monthly,received_export_then_sdmx,https://data.imf.org/,imf_data_terms_reviewed,retain_every_future_vintage,"Exact export URL or SDMX query, dataflow version, retrieval timestamp, checksum and applicable terms",initial_received_vintage,"internal non-commercial catalog and exploratory analysis with IMF attribution","research admission; presentation as national official statistics; unattributed redistribution",data_steward,2026-09-19
imf_bop,quarterly,received_export_then_sdmx,https://data.imf.org/,imf_data_terms_reviewed,retain_every_future_vintage,"Exact export URL or SDMX query, dataflow version, retrieval timestamp, checksum and applicable terms",initial_received_vintage,"internal non-commercial catalog and exploratory analysis with IMF attribution","research admission; silent transformations; unattributed redistribution",data_steward,2026-09-19
imf_cpi_wca,monthly,received_export_then_sdmx,https://data.imf.org/,imf_data_terms_reviewed,retain_every_future_vintage,"Exact export URL or SDMX query, dataflow version, retrieval timestamp, checksum and applicable terms",initial_received_vintage,"internal non-commercial catalog and exploratory analysis with IMF attribution","research admission; silent transformations; unattributed redistribution",data_steward,2026-09-19
imf_fsibsis,monthly_and_quarterly,received_export_then_sdmx,https://data.imf.org/,imf_data_terms_reviewed,retain_every_future_vintage,"Exact export URL or SDMX query, dataflow version, retrieval timestamp, checksum and applicable terms",initial_received_vintage,"internal non-commercial catalog and exploratory analysis with IMF attribution","research admission; silent transformations; unattributed redistribution",data_steward,2026-09-19
